model,tier,auc,auc_ci_lo,auc_ci_hi,ap,ap_ci_lo,ap_ci_hi,n_entities,n_launderers
logit,T1,0.9652739028446674,0.9507703336123658,0.9774579957698304,0.8507368990390297,0.818807917379732,0.8795180755323686,8000,388
logit,T2,0.981241298329821,0.9750851946536997,0.9868259515201029,0.8592801203147613,0.8289089271239201,0.8861440637728749,8000,388
logit,T3,0.9873223098634278,0.9827116395358585,0.9917427850382309,0.8943074484655228,0.8677460355416206,0.9184271617735607,8000,388
logit,T4,0.9920946850063113,0.9891076610657362,0.9948917057662348,0.9217799494953737,0.8990004747761947,0.9432418776301867,8000,388
gboost,T1,0.987091393946617,0.981194658011114,0.9918679488108249,0.9119122231280019,0.8907096133245095,0.9327312280926194,8000,388
gboost,T2,0.9976864392088455,0.9961354163223335,0.998978227237351,0.9804559198811121,0.9710574852534143,0.9889779249260248,8000,388
gboost,T3,0.9978675829265783,0.9965004493763256,0.998973573716692,0.9805883180822405,0.9709858195247004,0.9893428063375743,8000,388
gboost,T4,0.9985908034519559,0.9975209556524534,0.999399541094532,0.9849013133740881,0.9766521593986023,0.991809993758456,8000,388
