obfuscation,seed,n_entities,n_launderers,model,comparison,metric,d_point,ci_lo,ci_hi,equiv_bound,verdict,T2_auc,hi_auc,T2_ap,hi_ap,audit_pass,audit_worst_feature,audit_worst_auc
0.5,20260707,8000,388,logit,T2_vs_T3,auc,0.008066482114512663,0.004462335466969369,0.011777497532232017,0.011777497532232017,EQUIVALENT,0.9738259178399813,0.981892399954494,0.8327674831280137,0.8786866890361811,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,logit,T2_vs_T3,ap,0.04591920590816734,0.033548889734561174,0.058492201403208634,0.058492201403208634,SURVEILLANCE_SUPERIOR,0.9738259178399813,0.981892399954494,0.8327674831280137,0.8786866890361811,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,logit,T2_vs_T4,auc,0.010653282121013463,0.006487088877217706,0.015028804108898319,0.015028804108898319,EQUIVALENT,0.9738259178399813,0.9844791999609948,0.8327674831280137,0.9092218167481549,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,logit,T2_vs_T4,ap,0.0764543336201412,0.060780520289202486,0.09278211450680408,0.09278211450680408,SURVEILLANCE_SUPERIOR,0.9738259178399813,0.9844791999609948,0.8327674831280137,0.9092218167481549,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,gboost,T2_vs_T3,auc,0.001213155029226698,0.00010538441205621974,0.0026701086365999048,0.0026701086365999048,EQUIVALENT,0.9960690120320059,0.9972821670612326,0.9648539252237696,0.970266587099708,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,gboost,T2_vs_T3,ap,0.005412661875938474,0.00019281678925261468,0.010868221825246209,0.010868221825246209,EQUIVALENT,0.9960690120320059,0.9972821670612326,0.9648539252237696,0.970266587099708,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,gboost,T2_vs_T4,auc,0.001717987334160398,0.000455723225966298,0.003197857746268523,0.003197857746268523,EQUIVALENT,0.9960690120320059,0.9977869993661663,0.9648539252237696,0.9760674940374102,True,w_frac_fast_mean,0.8204672763027449
0.5,20260707,8000,388,gboost,T2_vs_T4,ap,0.011213568813640662,0.004989302323575584,0.01788619829156322,0.01788619829156322,EQUIVALENT,0.9960690120320059,0.9977869993661663,0.9648539252237696,0.9760674940374102,True,w_frac_fast_mean,0.8204672763027449
0.5,20260708,8000,426,logit,T2_vs_T3,auc,0.0037414877434663874,0.001006875001808033,0.006806227007594667,0.006806227007594667,EQUIVALENT,0.9777106880345536,0.98145217577802,0.8765745919951374,0.90270534073579,True,w_frac_fast_mean,0.8487204806162916
0.5,20260708,8000,426,logit,T2_vs_T3,ap,0.026130748740652576,0.01841824241712762,0.03439357122107027,0.03439357122107027,INCONCLUSIVE,0.9777106880345536,0.98145217577802,0.8765745919951374,0.90270534073579,True,w_frac_fast_mean,0.8487204806162916
