model,tier,auc,auc_ci_lo,auc_ci_hi,ap,ap_ci_lo,ap_ci_hi,n_entities,n_launderers
logit,T1,0.8699713149611845,0.8473896843353235,0.8916728299655363,0.5419281585459328,0.4942652022694548,0.5926827795426085,8000,388
logit,T2,0.8849913457319154,0.8660498468110166,0.9033149237877586,0.5316182684083142,0.4811441841090439,0.5842769548945322,8000,388
logit,T3,0.9890778802866879,0.9839650391064255,0.9932128769151928,0.9243233637413298,0.9009539747805003,0.942359609941369,8000,388
logit,T4,0.9960222871104225,0.992905322210369,0.9983118234736476,0.9682372263670477,0.9548962401981722,0.9783432174083195,8000,388
gboost,T1,0.9191232237758071,0.9033363211229085,0.933345656225205,0.6570174367131831,0.6143217081457988,0.6995093746745306,8000,388
gboost,T2,0.9650030337340391,0.9537716706933543,0.9751197492493882,0.8388637750744814,0.8089309718575892,0.8695466072581385,8000,388
gboost,T3,0.9945924367926929,0.9902743401797615,0.9978474118860661,0.9679885672858514,0.9543095331529803,0.9796623720613788,8000,388
gboost,T4,0.9983148555455033,0.9967835874022125,0.9993916955445177,0.9834191956938241,0.9745659707718164,0.9904978776763402,8000,388
